word,pos,ipa,translation,example,notes,alt_forms
-aloo,suff,alu,a lot,,,
-eur,suff,əɹ,agentive suffix,bakalarachi > bakalarachieur|goodify > goodifieur,,
-ful,suff,fəl,having,depression > depressionful,Sometimes equivilant to English -ed for adjectives (depressed),
-fy,suff,faɪ,make into this noun|make be this adjective,good > goodify,,
-ise,suff,aɪz,perform this verb or task|makes stem into verb|alt form of -fy,akrat > akratise,,-ize
-larachi,suff,laˈɹatʃi,partake in sexual intercourse with|fuck,fooka > fookalarachi,,-larajhi
-some,suff,səm,causing|emitting,depression > depressionsome,Sometimes equivilant to English -ing for adjectives (depressing),
.,int,dɔt|ˈpiɹijɪd,It is your turn to speak.,,,
aa,int,ˈa|ˈɑ|ˈæ,ah|oh|ow; ouch,,,a
aaeiingnne,int,aːeɪi˩˥eɪn˥˩ŋːɲə˨,I did something stupid.,"Á啊ëiìŋñně, I shall deathe.",,á啊ëiìŋñně
ack,int,ˈæk|ˈækə,fine (disgruntled agreement)|hello (answering phone),Ack.,,akk
ack,vt,ˈæk|ˈækə,to acknowledge,"I ack thy koncerns, howf they unkrat bea zel thu an idot bea.",,akk
affektion,n,aˈfɛkʃən,love,Affektion beas unkrat.,,
afi,vt,aˈfi,to love,"""I afi thu,"" beas qwat I wu voke if affektion krat ak beed.",,
afiment,n,aˈfimənt,love,Afiment unkrat beas.,,
ak,aux,ˈæk,auxiliary verb to emphasise the verb it is applied to,I ak kog how tu chessise!,,
ak,ptcl,ˈæk,yes; yeah|okay; ok,"Ak, ak.",,akrat|ac
aka,n,ˈaka,animal,,,
akqwakk,ptcl,ˈækwæk,(legalese): yes,,"This form of akrat is mainly used in court.|See also: akrat, ak",
akrat,adj,ˈækɹæt,correct; accurate|true|real,Affektion akrat unk beas.,,acrat
akratify,vt,ækˈɹætɪfaɪ,to correct,Thy homework has beed akratified.,,
akratise,vt,ˈækɹætaɪz,to verify; to make sure (of)|to check; to look through|to realise,Yu kan akratise my essay duz?,,ratise
akt,vt,ˈækt,to do,"Qwat c dukk, iung kog howtu akt this homework!",,
aktion,n,ˈækʃən,action|activity|task|act,Jakob apris aktions ov larachi.,,
allahun,allahun,alaˈxun,allahun,Allahun!,Allahun!,
amazesome,adj,əˈmeɪsəm,amazing,Billzo their kastle amazesome beas.,,
amusesome,adj,əˈmjusəm,funny; comedic,,,
anqerful,adj,ˈængəɹfəl,angry,I fery anqerful bea.,,angerful
antichambigangakakamalakalarachyism,n,æntitʃambigæŋgakakamalakalaˈratʃijɪzəm,the idea of being against fucking a pile of garbage in a large gang,,,
antikogment,n,æntiˈkɔgmənt,misinformation; disinformation|misconception,,,
apri,vt,əˈpɹi,to like; to appreciate|to approve of,Jakob apris bakalarachying.,,appri
apriaka,n,əpɹiˈaka|əˈpɹjaka,pet,,,
apugongawklu,n,apugɔŋˈgɑklu,interrogation,,,
ar,vt,ˈɑɹ,to hope; to hope for,,,
arkat,ptcl,ˈæɹkæt,Alt form of `akrat`,,,
aspire,vt,əˈspaɪɹ,Old form of `ar`,,,
auugghggghg,n,ˈaʊgxak,rage,Auugghggghg!,,
avaka,n,aˈvaka,bird,,`wazo` is more often used,
avek,prep,aˈvɛk,with|using,,,avec
aweful,adj,ˈɑfəl,superlative form of awesome,That awesome zel aweful beas!,No un- inversion,
awsome,adj,ˈɑsəm,awful,That awsome zel awful beas!,No un- inversion,
baboolah,vi,baˈbula,to evade taxes,I baboolah dutu I despise c government.,,
baka,n,ˈbaka,dog,Bakalarachying c national sport ov Jakobia beas.,,
bakalarachi,vi,bakalaˈɹatʃi,to partake in sexual intercourse with a dog or canine,"Jakob a professional bakalarachieur beas.|Jakob a professeur of bakalarachi at c University of Hypixel beas.|Jakob has enskribed several books on c theory ov bakalarachi.|Jakob manufaktures bakalarachying tutorials on Youtub.|Jakob a celebrity among bakalarchieurs beas, hailed as ce Chambi Bakalarachieur.|Jakob wunts proposed a theoretical aktion during qwich one bakalarachis, howf zel a kat.",,
bea,vi,ˈbi,to exist,,,
bea,vt,ˈbi,to be,I fery bea.,This verb conjugates regularly.,bie
beas,vt,ˈbiz,"third person singular form of ""bea""",Jakob a magmakube beas.,,
beed,vt,ˈbid,"past tense and past participle of ""bea""",Jakob beed arrested for publik bakalarachying.,,bead
bekog,vt,biˈkɔg|bəˈkɔg,to believe|to think,Qwat dz yu bekog?,,
betterise,vt,ˈbɛtəɹaɪz,alt form of gooderise,We aspire that wunsun Jakob shall betterise.,,
bevrik,adj,ˈbɛvɹɪk,old; ancient,,,bevric
bisbooka,n,bɪsˈbuka,maternal aunt,Liam their bisbooka beas Jakob their most apried.,,
bischiddle,n,bɪsˈtʃɪdəl,daughter,,,
biska,n,ˈbɪska,girl,,,bis
bisooka,n,bɪˈsuka,sister,,"shortened to ""bis-"" as a prefix to other family terms",
bisshooka,n,bɪsˈʃuka,paternal aunt,,,
bisume,n,bɪˈsum,woman,,,
boka,n,ˈboʊka,cat,"Jakob bokalarachies, howf mainly zel bakas.",,
booka,n,ˈbuka,mother,Jakob Liam their booka larachied.,,bookaloo
bookalarachi,vi,bukalaˈɹatʃi,to do one's mom,Jakob seeks out shooms teir bookas tu bookalarachi.,,
booshka,n,ˈbuʃka,parent,I afi my booshkas.|Jakob their own booshkas larachi.,,shoobka
borken,adj,ˈbɔrkən,broken,I borken bea.,,
brabooka,n,bɹaˈbuka,maternal uncle,,,
brachiddle,n,bɹaˈtʃɪdəl,son,,,
braedo,n,ˈbɹeɪdoʊ,piano,I play c braedo!,,breado
braka,n,ˈbɹaka,boy,,,
braooka,n,bɹaˈuka,brother,"shortened to ""bra-"" as a prefix to other family terms",,
brashooka,n,bɹaˈʃuka,paternal uncle,"Jakob beed abused by their brashooka, qwich qwy cey has an addiktion tu suwa aktions beas.",,
braume,n,ˈbɹaʊm,man,,,
breadful,adj,ˈbɹɛdfəl,in pain,Jakob kauses bakas tu breadful bea.,,
brightspace,int,ˈbɹʌɪtspeɪs,fecal matter,Jakob beas brightspace.,,sugar|bruihtspase
bushkanoe,n,ˈbʊʃkənu|ˈbuʃkənu|ˈaʃkala,bush in a canoe,,,
c,art,ðə|ði,the,"C kowo vokes ""moo"".",,ðe
cat,pro,ˈðæt,"Alternative spelling of ""that""",,,
chambi,adj,ˈtʃambi,big; large,,,
chambiapri,vt,ˈtʃambiəpɹi,to praise; to hail,,,
chambiwambi,n,tʃambiˈwambi,large chicken,C goodest Sesame Street kharacter Chambiwambi beas!,,jhambiwambi
chesseur,n,ˈtʃɛˌsər,chess player,Hoang a master chesseur beas.,,
chiddle,n,ˈtʃɪˌdəl,"Slang form of ""chidler""","Shut up, chiddle!",,chidl|chiddl
chiddlesimp,n,ˈtʃɪdəlsɪmp,paedophile,Liam akkused Jakob ov tu bea chiddlesimp.,,
chidler,n,ˈtʃɪdˌlər,child; mini-human,"""I shall murderise cose chidlers!"" -Jakob, probably",,khidler|kidler
chidnab,vt,ˈtʃɪdˌnæb,to kidnap,Jakob apris tu utilise ce chidnab spell.,,khidnab|kidnab
cis,pro,ˈðɪs,"Alternative spelling of ""this""",,,
dairy,n,ˈdɛəɹi,diary; journal,Jakob somesuns dokumes ceir days in ceir dairy.,,
deadify,vt,ˈdɛdɪfaɪ,to kill,Jakob deadifies jambi shooms.,,
deadlilaser,n,dɛdliˈleɪzəɹ,the sun,You ung shall view ce deadlilaser ever again.,Obselete,
deathe,vi,ˈdið,to die,"I almost deathed.|C sky roared with c words “death tu all trees”, zel ce fires ensured that many ak deaced.",,
deathe,vt,ˈdið,to kill,I shall deathe reg ov thu!,,deacise
deatheur,n,ˈdiðər,one who dies,Toby zel Jasper bea deatheurs qwen Jakob approaches.,,
deathiseur,n,ˈdiðaɪsər,killer,Jakob a deathiseur beas.,,
debate,n,dəˈbeɪt,yelling contest|yodelling contest,Parliamentary debates c goodest bea.,,
